Source_Row_Index,ID,Selected_Cluster,Alternative_K3_Cluster
451,6233,0,0
452,4148,1,0
453,4947,0,2
454,3225,1,0
455,7540,0,2
456,10648,0,2
457,1992,0,0
458,7851,0,2
459,8594,1,0
460,7059,0,2
461,2815,1,1
462,2416,0,2
463,7999,0,2
464,9213,1,1
465,9697,0,0
466,3916,0,0
467,2021,0,2
468,1581,1,1
469,564,0,0
470,6619,1,1
471,9081,1,1
472,178,0,0
473,916,1,1
474,5512,0,0
475,8970,0,0
476,10581,1,0
477,5300,1,1
478,5154,1,1
479,8346,1,0
480,1676,1,0
481,9286,0,2
482,2426,0,2
483,5172,0,0
484,5562,0,0
485,3436,1,1
486,3921,1,1
487,3403,0,2
488,22,1,0
489,10965,0,2
490,9426,0,0
491,6605,0,0
492,3136,0,0
493,8737,1,1
494,11088,0,2
495,716,0,2
496,466,0,2
497,9135,1,1
498,10623,1,1
499,8151,1,1
500,5140,0,0
501,10160,1,1
502,4945,0,0
503,10584,0,2
504,6071,0,2
505,3386,1,1
506,8939,0,0
507,9925,1,0
508,4320,0,2
509,5389,1,0
510,6036,0,2
511,182,1,0
512,203,0,2
513,11025,1,0
514,10203,1,1
515,4607,0,2
516,3711,0,2
517,3696,1,1
518,2532,0,2
519,9214,1,1
520,4943,0,2
521,35,1,1
522,2258,1,1
523,4322,0,2
524,713,0,2
525,4702,0,2
526,3281,1,0
527,702,0,0
528,2004,0,2
529,4769,1,0
530,4437,0,0
531,8724,1,1
532,10741,1,0
533,1991,1,0
534,6931,0,2
535,11096,0,0
536,304,1,1
537,3665,1,1
538,10591,1,1
539,5036,0,0
540,5547,0,2
541,7822,0,2
542,8541,1,1
543,10955,0,2
544,4368,1,1
545,9671,1,1
546,2256,1,1
547,4279,1,1
548,5371,1,1
549,9240,0,0
550,9460,1,1
551,9504,0,2
552,8692,1,0
553,448,0,0
554,8314,0,2
555,8420,1,1
556,3174,0,2
557,7685,1,1
558,3179,0,2
559,9780,0,0
560,10681,0,0
561,10232,0,0
562,4184,0,0
563,9120,0,0
564,891,1,1
565,10381,1,1
566,3525,1,1
567,6818,1,0
568,3526,1,1
569,8181,1,1
570,1029,0,0
571,7369,1,1
572,2574,0,0
573,8159,1,0
574,1160,1,1
575,10242,1,1
576,5253,1,0
577,5966,1,0
578,5314,1,0
579,5081,1,1
580,5123,1,1
581,5756,1,1
582,8036,1,1
583,9058,0,2
584,5057,0,2
585,254,0,0
586,4179,1,1
587,3710,1,1
588,7627,0,2
589,4501,0,2
590,6424,1,1
591,3075,0,2
592,4992,1,1
593,5252,1,1
594,7444,1,1
595,6919,1,1
596,3537,1,1
597,10277,1,1
598,2453,0,0
599,7972,0,2
600,895,0,0
601,1177,1,0
602,7141,1,1
603,7232,1,1
604,8477,1,1
605,2457,1,1
606,988,0,2
607,7930,1,1
608,4587,0,2
609,6682,1,1
610,6222,1,1
611,10299,0,0
612,3083,1,0
613,8953,1,1
614,1503,1,1
615,8650,1,1
616,10862,0,0
617,2782,0,0
618,6941,1,1
619,10972,0,2
620,10708,1,1
621,6583,0,2
622,3641,1,1
623,10156,0,2
624,4299,0,0
625,3469,1,1
626,5063,1,1
627,10727,0,0
628,9624,0,2
629,5156,0,0
630,4376,1,1
631,8923,0,2
632,8461,1,1
633,6945,0,2
634,944,0,0
635,1907,0,0
636,701,0,0
637,3856,0,0
638,4149,0,2
639,2131,0,0
640,2942,0,0
641,1173,0,2
642,4381,1,0
643,4611,0,2
644,3376,0,1
645,4679,0,0
646,10928,0,0
647,4248,0,2
648,6728,1,1
649,6661,0,0
650,4725,0,2
651,3277,1,0
652,5555,1,1
653,2564,1,0
654,946,1,1
655,3867,0,2
656,6940,1,0
657,55,0,0
658,7093,1,1
659,5084,0,2
660,1777,1,1
661,8162,1,1
662,10826,1,1
663,8754,1,1
664,1987,1,1
665,11007,1,1
666,7426,1,0
667,9153,0,2
668,10379,0,0
669,9204,0,0
670,3197,0,0
671,2920,0,0
672,6961,1,1
673,4673,0,0
674,9937,0,2
675,8779,1,1
676,9596,0,2
677,2891,0,0
678,4910,0,0
679,75,1,1
680,10120,1,0
681,6327,0,2
682,10142,0,0
683,9826,0,2
684,1501,0,2
685,10767,0,2
686,7279,0,2
687,7230,0,0
688,143,0,2
689,450,0,2
690,9316,1,1
691,6379,1,0
692,9239,1,0
693,8315,1,1
694,2868,1,1
695,10888,0,0
696,1277,0,2
697,9977,0,0
698,10196,0,0
699,6384,0,0
700,8029,0,2
701,968,1,0
702,6988,0,0
703,4472,1,1
704,6991,0,0
705,3336,0,0
706,4301,1,1
707,1940,1,1
708,1272,0,0
709,1388,1,1
710,1044,0,2
711,6969,1,0
712,10479,0,2
713,3619,0,2
714,1715,1,1
715,10159,0,0
716,1463,1,1
717,5114,0,0
718,4990,0,0
719,4329,1,1
720,10936,0,2
721,4692,1,1
722,7212,1,1
723,6086,0,2
724,437,0,2
725,11171,1,0
726,11101,0,2
727,5329,1,1
728,610,1,0
729,9384,0,0
730,5956,1,0
731,10430,0,0
732,7875,0,2
733,7072,0,0
734,6255,0,2
735,6516,1,1
736,5564,0,2
737,5682,0,0
738,7458,1,1
739,5237,1,1
740,7761,1,1
741,5278,0,2
742,3560,0,2
743,7235,1,1
744,10548,0,2
745,2281,1,1
746,4073,0,2
747,6974,0,2
748,7938,0,0
749,7094,0,2
750,3667,0,2
751,7723,0,2
752,3870,0,2
753,4012,0,0
754,5909,0,0
755,10470,1,1
756,6488,1,0
757,10270,1,1
758,6887,0,0
759,6406,0,2
760,7573,1,1
761,4508,0,2
762,221,1,0
763,5331,0,2
764,1911,0,2
765,20,1,1
766,8786,0,0
767,10582,0,2
768,1915,0,2
769,8897,1,0
770,2371,1,1
771,4303,1,1
772,6825,1,1
773,1072,1,0
774,4964,0,2
775,2461,1,1
776,10736,0,2
777,3194,0,2
778,10839,1,1
779,49,1,1
780,4290,1,1
781,10219,1,1
782,4211,1,1
783,1135,1,1
784,6299,0,0
785,10846,1,0
786,347,1,0
787,6543,0,2
788,10446,0,2
789,3479,1,1
790,11075,0,0
791,4442,1,1
792,199,0,0
793,6722,0,0
794,796,0,0
795,3749,0,2
796,8523,1,1
797,310,0,0
798,8629,1,1
799,236,1,1
800,9930,0,2
801,3483,0,0
802,4599,1,0
803,7326,1,1
804,7352,0,2
805,2350,0,0
806,9145,0,2
807,2964,1,1
808,5585,1,1
809,9687,0,2
810,3732,0,0
811,6303,0,2
812,11176,0,0
813,2986,1,1
814,7462,1,0
815,3900,0,0
816,7034,1,1
817,9493,0,2
818,1143,1,1
819,1,0,0
820,3855,1,1
821,5536,0,2
822,5989,0,0
823,9499,0,0
824,6768,1,1
825,2150,0,2
826,6646,1,1
827,4887,1,1
828,8560,0,2
829,3321,0,0
830,11003,1,1
831,10402,1,1
832,9904,0,0
833,6141,1,0
834,5687,0,2
835,10856,1,1
836,5121,0,0
837,4186,1,1
838,368,1,0
839,3312,1,1
840,11121,1,1
841,5332,0,2
842,5848,0,2
843,10343,0,2
844,5935,0,0
845,2895,1,0
846,10262,1,1
847,7848,0,0
848,9477,0,0
849,4856,0,2
850,7186,1,1
851,5794,1,0
852,1456,0,0
853,4877,1,1
854,425,0,0
855,3007,1,1
856,1031,0,2
857,4297,1,1
858,807,1,0
859,9553,1,1
860,4271,1,0
861,4120,1,0
862,2036,0,0
863,115,0,0
864,4259,1,1
865,8687,0,2
866,2447,1,1
867,10140,0,2
868,9353,0,2
869,3623,1,1
870,738,1,1
871,7631,0,2
872,4789,0,2
873,773,0,0
874,10602,1,1
875,1446,0,2
876,3270,1,1
877,8443,1,1
878,9653,1,1
879,8916,1,1
880,8017,1,1
881,5830,0,2
882,4597,0,2
883,7023,1,0
884,8086,1,0
885,8825,1,0
886,2930,0,2
887,1928,1,1
888,7108,1,0
889,10925,0,2
890,9960,1,1
891,8800,0,2
892,9224,0,0
893,5519,0,2
894,5046,0,0
895,7037,1,0
896,905,1,1
897,8624,0,2
898,8945,1,0
899,6445,0,2
900,2727,0,2
901,6404,1,0
902,11074,0,2
903,10150,0,2
904,1968,1,1
905,6534,1,1
906,9485,0,1
907,7053,0,2
908,4654,0,2
909,9760,0,0
910,1048,1,1
911,10619,0,2
912,9308,0,2
913,10505,0,2
914,8362,0,2
915,2625,0,0
916,4637,0,2
917,9972,1,1
918,4483,0,2
919,4487,1,1
920,4988,1,1
921,8931,0,2
922,5871,1,1
923,2008,0,2
924,3139,0,2
925,10037,0,2
926,10673,0,2
927,5303,0,2
928,538,1,1
929,7922,0,0
930,5692,1,1
931,4843,0,2
932,6383,1,1
933,1628,0,2
934,1204,0,0
935,3673,0,0
936,760,0,0
937,8957,0,0
938,4128,0,0
939,6810,0,2
940,5386,0,2
941,8700,1,1
942,3202,0,0
943,1328,0,2
944,8405,0,0
945,6515,1,1
946,2882,0,0
947,7574,1,1
948,6387,1,1
949,5320,1,0
950,5048,1,1
951,8146,1,1
952,10031,1,1
953,5748,0,0
954,2134,0,0
955,1523,1,1
956,9665,0,0
957,4640,0,2
958,3635,0,0
959,3547,1,1
960,2456,1,0
961,5633,1,1
962,7801,0,0
963,10489,0,2
964,7011,1,1
965,2620,1,1
966,3933,1,0
967,10981,0,2
968,1734,1,0
969,10995,1,1
970,6357,0,0
971,9209,0,2
972,10286,0,2
973,2611,0,2
974,1600,1,0
975,3308,1,1
976,5407,0,0
977,2166,1,1
978,3955,1,1
979,6634,1,1
980,3056,0,0
981,5718,0,2
982,6872,0,0
983,8164,0,2
984,4580,0,2
985,9305,0,2
986,453,1,1
987,8545,0,2
988,9850,1,1
989,7378,1,0
990,7646,0,2
991,1640,1,1
992,5184,1,1
993,8492,0,2
994,11188,1,1
995,1212,0,0
996,9097,0,0
997,10473,0,2
998,7962,0,2
999,9984,0,0
1000,5527,1,1
1001,6374,1,0
1002,7453,0,0
1003,8952,0,2
1004,241,0,2
1005,8975,1,1
1006,6119,1,1
1007,5236,0,0
1008,5723,0,2
1009,1710,1,0
1010,1970,1,1
1011,5313,1,1
1012,10634,0,2
1013,7010,0,2
1014,8562,0,2
1015,3158,1,1
1016,4436,1,1
1017,5287,1,1
1018,2445,1,1
1019,6059,0,0
1020,4550,1,1
1021,4240,1,1
1022,8911,0,0
1023,3706,1,1
1024,3628,1,1
1025,10175,1,1
1026,8985,0,0
1027,5204,0,2
1028,9220,0,2
1029,9888,0,2
1030,5263,1,1
1031,1020,0,2
1032,9503,1,1
1033,10613,1,1
1034,67,1,0
1035,6019,1,1
1036,5863,0,0
1037,3717,0,0
1038,6730,1,1
1039,10749,1,1
1040,4998,0,2
1041,6287,1,1
1042,5985,1,0
1043,4754,1,1
1044,4002,0,2
1045,8870,1,0
1046,966,0,0
1047,4767,0,2
1048,9725,1,1
1049,4475,0,2
1050,5740,1,1
1051,5731,1,1
1052,7290,0,2
1053,3846,1,0
1054,8104,0,0
1055,4507,0,2
1056,11013,0,2
1057,4491,0,0
1058,3759,0,0
1059,1162,0,2
1060,2055,1,1
1061,10766,0,2
1062,4415,1,1
1063,3005,0,2
1064,2223,0,0
1065,4817,1,1
1066,2875,0,2
1067,10536,1,1
1068,11112,0,0
1069,3807,0,0
1070,9197,1,1
1071,10832,0,0
1072,6421,0,2
1073,4207,0,2
1074,577,1,1
1075,10855,0,0
1076,3081,1,1
1077,3535,0,2
1078,247,1,0
1079,8707,0,2
1080,9523,1,1
1081,6072,0,2
1082,6295,0,0
1083,10914,1,1
1084,1509,0,2
1085,5577,1,1
1086,7348,0,2
1087,1127,0,2
1088,1833,1,1
1089,4944,0,2
1090,9080,1,1
1091,6466,1,0
1092,9964,0,2
1093,4790,0,2
1094,10245,0,2
1095,1109,1,1
1096,6001,0,0
1097,5538,0,2
1098,10552,1,1
1099,1545,1,0
1100,7409,1,0
1101,4444,1,1
1102,146,0,2
1103,6271,1,1
1104,10065,1,1
1105,4741,0,0
1106,246,1,0
1107,375,0,2
1108,1524,0,0
1109,10022,1,1
1110,7451,0,2
1111,11010,1,1
1112,4356,0,0
1113,3885,1,1
1114,1175,0,2
1115,880,1,1
1116,2320,1,0
1117,850,0,2
1118,4713,1,1
1119,675,1,0
1120,5025,1,1
1121,2308,1,0
1122,5995,1,0
1123,6749,0,0
1124,1010,1,1
1125,8977,1,1
1126,4756,0,2
1127,3412,0,0
1128,606,1,1
1129,5961,1,1
1130,2975,0,2
1131,2894,0,2
1132,7613,1,0
1133,10542,1,1
1134,8015,0,2
1135,10617,1,1
1136,11166,1,0
1137,849,0,0
1138,523,1,1
1139,4066,1,1
1140,8414,1,1
1141,819,0,2
1142,4961,1,1
1143,749,1,1
1144,5430,1,0
1145,7755,1,0
1146,10525,1,1
1147,1453,0,0
1148,8310,0,0
1149,10710,1,1
1150,5031,0,2
1151,2613,0,2
1152,213,1,1
1153,967,1,0
1154,1077,0,2
1155,7959,0,2
1156,640,0,0
1157,4252,1,0
1158,8432,1,0
1159,6218,0,0
1160,6905,0,2
1161,5922,1,0
1162,3598,0,0
1163,6116,1,1
1164,6263,1,1
1165,10486,0,2
1166,2410,0,2
1167,193,1,1
1168,3363,1,1
1169,8278,0,2
1170,10660,1,0
1171,8686,1,1
1172,1604,0,0
1173,5907,1,1
1174,10669,0,0
1175,2918,1,1
1176,5735,0,2
1177,359,0,0
1178,8387,1,0
1179,1829,0,0
1180,3839,1,1
1181,9392,1,1
1182,2292,1,1
1183,10466,1,1
1184,9855,0,0
1185,4088,1,0
1186,5231,1,1
1187,590,0,2
1188,8732,0,0
1189,2315,1,1
1190,3515,1,0
1191,2245,1,1
1192,6283,0,0
1193,2246,1,1
1194,6606,0,0
1195,5545,0,2
1196,7342,0,0
1197,837,1,1
1198,9500,0,0
1199,3602,0,0
1200,234,1,1
1201,2995,0,2
1202,1118,0,0
1203,7789,0,2
1204,3068,1,1
1205,8955,1,1
1206,945,1,1
1207,5644,1,0
1208,7192,0,2
1209,2324,0,2
1210,697,0,2
1211,3439,1,0
1212,1506,1,1
1213,232,0,0
1214,8876,1,0
1215,4500,0,2
1216,9739,1,0
1217,10395,1,1
1218,1176,1,1
1219,1627,0,2
1220,938,1,1
1221,2740,1,0
1222,257,0,0
1223,4058,0,0
1224,7736,1,1
1225,8210,0,0
1226,833,1,0
1227,6230,1,0
1228,7325,1,1
1229,1307,1,1
1230,1502,1,1
1231,6211,1,1
1232,843,0,0
1233,4174,0,0
1234,9757,0,2
1235,6918,1,1
1236,286,1,0
1237,11086,1,1
1238,1921,1,1
1239,4138,0,2
1240,7718,0,2
1241,1291,1,0
1242,6862,1,1
1243,4136,1,1
1244,803,1,1
1245,4298,1,1
1246,10833,0,0
1247,9606,0,2
1248,8534,0,0
1249,5153,0,0
1250,961,0,2
1251,5011,0,0
1252,6653,1,0
1253,9094,0,0
1254,810,0,2
1255,5493,1,1
1256,2147,0,2
1257,5107,1,1
1258,3979,0,2
1259,6049,0,2
1260,8147,1,1
1261,1857,1,0
1262,3910,0,2
1263,5207,0,0
1264,11114,1,1
1265,5429,1,0
1266,9400,0,2
1267,1740,0,0
1268,7488,0,0
1269,195,1,0
1270,635,1,0
1271,7527,1,1
1272,10319,0,0
1273,2296,1,1
1274,10637,1,1
1275,2931,0,2
1276,907,1,0
1277,3698,0,2
1278,9516,0,0
1279,679,1,1
1280,7384,0,0
1281,5043,1,1
1282,5267,1,1
1283,339,0,0
1284,2516,1,1
1285,9010,0,2
1286,378,0,0
1287,4808,1,1
1288,5068,1,1
1289,7628,1,1
1290,7128,1,1
1291,2811,1,1
1292,3551,0,2
1293,1663,1,1
1294,5543,0,0
1295,1577,0,2
1296,10641,1,1
1297,5336,1,1
1298,6024,0,2
1299,1878,1,1
1300,3099,1,0
1301,6055,0,2
1302,5841,0,0
1303,3972,1,0
1304,4394,0,2
1305,5758,0,0
1306,6658,0,0
1307,4603,0,0
1308,8427,0,2
1309,10260,1,0
1310,7143,0,2
1311,8789,1,1
1312,6197,1,1
1313,4554,0,0
1314,4937,1,1
1315,1920,1,1
1316,8749,1,1
1317,1650,0,2
1318,10377,1,0
1319,9206,0,2
1320,10971,1,0
1321,6398,1,1
1322,9212,0,0
1323,7937,1,1
1324,839,1,1
1325,4246,1,1
1326,158,0,2
1327,4832,1,1
1328,5621,1,0
1329,1945,0,0
1330,5147,0,2
1331,2535,0,2
1332,11039,1,0
1333,9495,0,2
1334,9635,1,1
1335,2173,1,1
1336,942,1,0
1337,9386,1,0
1338,5510,0,0
1339,873,0,0
1340,2253,1,1
1341,5181,1,1
1342,979,1,1
1343,10390,1,1
1344,4698,0,0
1345,7793,0,0
1346,1745,0,2
1347,10590,0,2
1348,5080,0,2
1349,8369,1,1
1350,5232,0,0
1351,2407,0,2
1352,3834,0,0
1353,7912,1,1
1354,7712,0,2
1355,1065,0,2
1356,7275,1,1
1357,1343,1,0
1358,1384,1,1
1359,9967,1,0
1360,6181,0,2
1361,10507,0,0
1362,2674,0,0
1363,2698,0,0
1364,3231,1,1
1365,4096,1,0
1366,10476,0,2
1367,5948,1,0
1368,9140,1,1
1369,10258,1,1
1370,5675,0,0
1371,4743,0,0
1372,8805,1,0
1373,1542,1,0
1374,6770,1,1
1375,8773,1,0
1376,10475,0,0
1377,10420,1,1
1378,7514,1,0
1379,2902,1,1
1380,4345,1,1
1381,793,1,1
1382,10909,0,2
1383,3769,1,1
1384,8702,1,1
1385,4791,1,1
1386,2963,0,2
1387,8216,0,0
1388,8140,1,1
1389,10146,1,1
1390,5289,1,1
1391,2587,1,1
1392,4405,0,0
1393,8663,1,1
1394,2589,1,1
1395,3421,0,0
1396,10490,1,0
1397,4094,1,0
1398,9958,0,0
1399,2534,1,0
1400,4188,1,0
1401,6613,0,0
1402,10827,1,0
1403,5491,1,0
1404,8402,0,0
1405,8783,0,0
1406,10010,1,0
1407,618,0,0
1408,9121,0,0
1409,361,1,1
1410,4310,0,2
1411,2678,1,1
1412,6376,0,0
1413,524,1,1
1414,10341,0,2
1415,5654,1,1
1416,4098,1,1
1417,5824,1,1
1418,7000,0,2
1419,2561,0,0
1420,5229,1,1
1421,4086,1,1
1422,2428,1,1
1423,8254,1,1
1424,2836,1,1
1425,8418,1,1
1426,1362,1,1
1427,7152,1,1
1428,10033,1,1
1429,9349,0,2
1430,274,1,1
1431,3388,1,0
1432,922,1,1
1433,8588,1,0
1434,2518,1,1
1435,574,0,1
1436,3220,1,1
1437,5967,1,1
1438,1183,1,1
1439,6856,1,1
1440,4530,0,2
1441,1553,0,2
1442,4682,0,2
1443,8204,0,2
1444,5221,0,0
1445,1232,0,2
1446,1927,0,2
1447,5788,1,1
1448,6652,0,2
1449,6246,0,2
1450,5975,1,1
1451,6875,0,0
1452,4399,0,2
1453,4042,1,0
1454,2157,1,1
1455,10133,0,2
1456,2525,0,0
1457,8233,0,0
1458,9483,0,0
1459,2945,1,1
1460,10403,1,1
1461,5074,1,1
1462,10524,0,2
1463,4690,0,0
1464,7521,0,2
1465,7196,1,1
1466,4406,0,0
1467,9672,1,1
1468,4864,1,1
1469,4706,1,1
1470,4070,0,2
1471,25,0,2
1472,3697,1,0
1473,217,0,2
1474,4220,1,0
1475,5286,0,2
1476,9559,0,0
1477,2849,0,0
1478,7787,0,0
1479,3102,1,1
1480,5868,1,1
1481,8370,0,0
1482,9988,0,0
1483,2939,0,2
1484,5529,1,0
1485,9743,0,0
1486,5763,1,0
1487,3478,0,0
1488,7494,1,0
1489,1763,0,2
1490,7250,0,0
1491,2005,1,1
1492,10770,0,2
1493,6885,1,1
1494,2072,0,0
1495,9463,0,0
1496,6318,0,2
1497,4093,1,0
1498,5751,1,1
1499,3340,1,0
1500,3594,1,0
1501,3584,0,0
1502,3643,0,2
1503,851,1,0
1504,7706,0,0
1505,3967,0,2
1506,10128,0,0
