fold,row,group,partition
1,680,293,fit
1,681,384,fit
1,682,1535,fit
1,683,1605,fit
1,684,37,fit
1,685,1342,fit
1,686,1952,fit
1,687,800,fit
1,688,643,fit
1,691,318,fit
1,694,1601,fit
1,695,352,fit
1,696,1596,fit
1,697,2005,fit
1,698,562,fit
1,700,230,fit
1,703,1587,fit
1,704,1734,fit
1,705,300,fit
1,707,607,fit
1,710,1566,fit
1,711,1481,fit
1,712,115,fit
1,714,956,fit
1,715,1853,fit
1,716,1332,fit
1,718,1687,fit
1,719,1722,fit
1,722,899,fit
1,723,1929,fit
1,724,678,fit
1,728,1059,fit
1,729,254,fit
1,731,978,fit
1,732,1786,fit
1,733,1145,fit
1,735,226,fit
1,736,743,fit
1,737,316,fit
1,738,1982,fit
1,739,464,fit
1,741,537,fit
1,742,434,fit
1,743,1435,fit
1,749,850,fit
1,750,1923,fit
1,751,359,fit
1,753,710,fit
1,754,1645,fit
1,755,771,fit
1,756,873,fit
1,757,1816,fit
1,758,668,fit
1,761,1937,fit
1,763,1416,fit
1,765,1635,fit
1,769,1229,fit
1,770,927,fit
1,772,1211,fit
1,774,1354,fit
1,775,1158,fit
1,778,349,fit
1,780,1242,fit
1,781,846,fit
1,782,1081,fit
1,783,1999,fit
1,784,1585,fit
1,785,258,fit
1,786,1604,fit
1,787,414,fit
1,788,796,fit
1,790,1281,fit
1,791,187,fit
1,792,68,fit
1,793,1247,fit
1,794,1700,fit
1,795,262,fit
1,801,1732,fit
1,802,199,fit
1,803,1761,fit
1,804,242,fit
1,805,179,fit
1,806,55,fit
1,807,1950,fit
1,809,942,fit
1,810,1691,fit
1,811,1089,fit
1,812,624,fit
1,813,1283,fit
1,815,1903,fit
1,817,2001,fit
1,820,491,fit
1,821,684,fit
1,823,1962,fit
1,824,239,fit
1,826,26,fit
1,827,288,fit
1,828,1536,fit
1,830,1546,fit
1,831,1836,fit
1,833,1356,fit
1,834,992,fit
1,836,1238,fit
1,837,1169,fit
1,838,1667,fit
1,839,123,fit
1,840,1224,fit
1,844,12,fit
1,845,411,fit
1,846,1470,fit
1,847,1280,fit
1,849,1425,fit
1,851,622,fit
1,852,2018,fit
1,856,350,fit
1,857,801,fit
1,858,808,fit
1,859,715,fit
1,862,1173,fit
1,863,122,fit
1,865,4,fit
1,866,1983,fit
1,868,1021,fit
1,872,140,fit
1,876,1791,fit
1,877,1225,fit
1,878,271,fit
1,879,1768,fit
1,880,1794,fit
1,881,1605,fit
1,884,1329,fit
1,886,1811,fit
1,887,1633,fit
1,888,388,fit
1,889,1122,fit
1,890,241,fit
1,891,546,fit
1,892,533,fit
1,893,1246,fit
1,895,1423,fit
1,896,1267,fit
1,898,134,fit
1,901,449,fit
1,904,1792,fit
1,905,1739,fit
1,906,891,fit
1,907,11,fit
1,909,2008,fit
1,910,1621,fit
1,911,106,fit
1,913,505,fit
1,914,1579,fit
1,916,1407,fit
1,919,150,fit
1,921,687,fit
1,922,781,fit
1,923,259,fit
1,925,2019,fit
1,927,855,fit
1,928,1703,fit
1,929,1296,fit
1,931,1937,fit
1,932,146,fit
1,933,761,fit
1,935,412,fit
1,938,236,fit
1,939,1453,fit
1,940,9,fit
1,943,680,fit
1,944,15,fit
1,945,1411,fit
1,946,681,fit
1,947,402,fit
1,948,446,fit
1,949,310,fit
1,950,284,fit
1,951,921,fit
1,952,1935,fit
1,954,629,fit
1,955,1009,fit
1,956,1351,fit
1,958,1149,fit
1,959,1101,fit
1,961,1410,fit
1,963,440,fit
1,964,1975,fit
1,965,1552,fit
1,967,709,fit
1,970,69,fit
1,972,1577,fit
1,976,1315,fit
1,977,658,fit
1,979,894,fit
1,980,1027,fit
1,981,71,fit
1,982,1024,fit
1,985,1789,fit
1,986,780,fit
1,987,1157,fit
1,988,1848,fit
1,989,610,fit
1,991,1767,fit
1,993,810,fit
1,994,1875,fit
1,995,1856,fit
1,997,1251,fit
1,1000,631,fit
1,1001,1850,fit
1,1002,1549,fit
1,1004,434,fit
1,1005,792,fit
1,1006,932,fit
1,1008,161,fit
1,1009,766,fit
1,1010,1321,fit
1,1012,1909,fit
1,1014,1731,fit
1,1016,1810,fit
1,1017,1627,fit
1,1018,228,fit
1,1019,1624,fit
1,1020,222,fit
1,1021,292,fit
1,1022,818,fit
1,1023,1864,fit
1,1024,734,fit
1,1025,1894,fit
1,1026,817,fit
1,1027,159,fit
1,1029,898,fit
1,1031,2010,fit
1,1032,248,fit
1,1033,947,fit
1,1034,1906,fit
1,1035,1071,fit
1,1036,1783,fit
1,1037,551,fit
1,1038,417,fit
1,1039,1595,fit
1,1040,1377,fit
1,1043,697,fit
1,1046,2029,fit
1,1049,1751,fit
1,1050,883,fit
1,1052,1330,fit
1,1053,1971,fit
1,1056,822,fit
1,1058,652,fit
1,1059,1907,fit
1,1062,1256,fit
1,1064,33,fit
1,1066,1389,fit
1,1067,146,fit
1,1068,1897,fit
1,1069,1405,fit
1,1070,612,fit
1,1071,139,fit
1,1072,1370,fit
1,1074,1467,fit
1,1081,601,fit
1,1086,1025,fit
1,1087,1311,fit
1,1091,2012,fit
1,1093,980,fit
1,1094,1109,fit
1,1095,828,fit
1,1096,634,fit
1,1097,1530,fit
1,1098,1943,fit
1,1099,1632,fit
1,1100,1607,fit
1,1101,1473,fit
1,1102,74,fit
1,1103,273,fit
1,1105,376,fit
1,1107,1547,fit
1,1108,495,fit
1,1109,933,fit
1,1110,518,fit
1,1111,1557,fit
1,1114,1491,fit
1,1115,844,fit
1,1116,864,fit
1,1117,917,fit
1,1118,1178,fit
1,1119,498,fit
1,1120,1821,fit
1,1121,995,fit
1,1123,954,fit
1,1125,1230,fit
1,1126,208,fit
1,1129,39,fit
1,1130,1369,fit
1,1131,1871,fit
1,1132,25,fit
1,1133,129,fit
1,1134,549,fit
1,1135,1533,fit
1,1136,1837,fit
1,1137,418,fit
1,1139,1289,fit
1,1142,1637,fit
1,1144,934,fit
1,1146,949,fit
1,1147,1589,fit
1,1148,1187,fit
1,1150,1197,fit
1,1152,1526,fit
1,1153,219,fit
1,1154,539,fit
1,1155,1663,fit
1,1156,336,fit
1,1158,934,fit
1,1161,87,fit
1,1163,1826,fit
1,1165,1223,fit
1,1167,584,fit
1,1168,1320,fit
1,1169,383,fit
1,1171,962,fit
1,1172,919,fit
1,1173,496,fit
1,1174,1357,fit
1,1176,60,fit
1,1177,1996,fit
1,1179,1257,fit
1,1182,1105,fit
1,1183,78,fit
1,1184,557,fit
1,1185,1317,fit
1,1186,1113,fit
1,1187,1860,fit
1,1188,812,fit
1,1191,1240,fit
1,1193,1635,fit
1,1194,1570,fit
1,1196,354,fit
1,1197,1352,fit
1,1198,171,fit
1,1201,119,fit
1,1202,432,fit
1,1203,701,fit
1,1204,1885,fit
1,1205,994,fit
1,1207,326,fit
1,1208,1417,fit
1,1211,1017,fit
1,1212,1904,fit
1,1215,653,fit
1,1219,1772,fit
1,1220,27,fit
1,1221,691,fit
1,1222,1185,fit
1,1223,507,fit
1,1224,158,fit
1,1226,57,fit
1,1228,638,fit
1,1229,406,fit
1,1231,598,fit
1,1233,478,fit
1,1235,925,fit
1,1236,1255,fit
1,1237,513,fit
1,1240,260,fit
1,1241,99,fit
1,1242,314,fit
1,1243,462,fit
1,1244,1322,fit
1,1245,2033,fit
1,1247,755,fit
1,1249,2024,fit
1,1251,1106,fit
1,1252,363,fit
1,1253,859,fit
1,1256,1755,fit
1,1258,365,fit
1,1259,320,fit
1,1260,1119,fit
1,1261,1524,fit
1,1262,1530,fit
1,1265,1020,fit
1,1267,375,fit
1,1269,816,fit
1,1270,858,fit
1,1273,1363,fit
1,1275,1489,fit
1,1276,1393,fit
1,1277,1345,fit
1,1278,712,fit
1,1279,1976,fit
1,1281,1347,fit
1,1282,1893,fit
1,1283,298,fit
1,1284,749,fit
1,1285,1834,fit
1,1287,197,fit
1,1289,1397,fit
1,1290,1141,fit
1,1293,578,fit
1,1295,1120,fit
1,1298,9,fit
1,1299,173,fit
1,1301,577,fit
1,1302,583,fit
1,1303,347,fit
1,1305,1036,fit
1,1306,1490,fit
1,1307,659,fit
1,1309,1918,fit
1,1310,981,fit
1,1311,2023,fit
1,1313,263,fit
1,1314,1196,fit
1,1317,1796,fit
1,1318,672,fit
1,1319,1068,fit
1,1320,1571,fit
1,1321,154,fit
1,1322,750,fit
1,1324,1912,fit
1,1325,1007,fit
1,1326,1396,fit
1,1327,1541,fit
1,1329,1827,fit
1,1333,602,fit
1,1335,1307,fit
1,1336,1131,fit
1,1337,1819,fit
1,1338,732,fit
1,1340,1432,fit
1,1341,848,fit
1,1343,1887,fit
1,1344,1477,fit
1,1346,549,fit
1,1347,143,fit
1,1352,1076,fit
1,1353,21,fit
1,1355,1754,fit
1,1356,107,fit
1,1357,623,fit
1,1358,1391,fit
1,1359,1618,fit
1,1361,890,fit
1,1363,857,fit
1,1364,1052,fit
1,1366,1591,fit
1,1368,342,fit
1,1369,1560,fit
1,1370,800,fit
1,1371,840,fit
1,1374,1798,fit
1,1375,1129,fit
1,1376,1127,fit
1,1377,163,fit
1,1378,1567,fit
1,1379,1175,fit
1,1384,1467,fit
1,1385,993,fit
1,1386,359,fit
1,1388,651,fit
1,1389,2028,fit
1,1390,479,fit
1,1391,444,fit
1,1393,1451,fit
1,1394,524,fit
1,1397,1518,fit
1,1398,1903,fit
1,1400,1191,fit
1,1401,1939,fit
1,1403,1931,fit
1,1405,1015,fit
1,1407,1740,fit
1,1408,1899,fit
1,1409,135,fit
1,1410,517,fit
1,1411,176,fit
1,1412,155,fit
1,1413,844,fit
1,1414,1287,fit
1,1415,1921,fit
1,1418,1801,fit
1,1419,51,fit
1,1421,1454,fit
1,1422,1418,fit
1,1423,1552,fit
1,1424,936,fit
1,1425,1268,fit
1,1426,1111,fit
1,1428,1060,fit
1,1429,153,fit
1,1430,984,fit
1,1432,1231,fit
1,1433,1518,fit
1,1435,1825,fit
1,1437,338,fit
1,1438,125,fit
1,1439,657,fit
1,1440,147,fit
1,1441,1318,fit
1,1446,127,fit
1,1448,863,fit
1,1449,1859,fit
1,1450,105,fit
1,1451,776,fit
1,1452,898,fit
1,1453,983,fit
1,1454,2,fit
1,1455,1713,fit
1,1456,1758,fit
1,1458,1048,fit
1,1460,760,fit
1,1462,1988,fit
1,1463,905,fit
1,1464,434,fit
1,1465,1694,fit
1,1466,719,fit
1,1467,1261,fit
1,1468,948,fit
1,1471,1295,fit
1,1472,1361,fit
1,1475,937,fit
1,1476,877,fit
1,1477,2018,fit
1,1478,1449,fit
1,1479,1606,fit
1,1480,1830,fit
1,1481,1427,fit
1,1482,989,fit
1,1485,385,fit
1,1486,282,fit
1,1487,944,fit
1,1489,997,fit
1,1490,1137,fit
1,1491,407,fit
1,1492,1866,fit
1,1494,1849,fit
1,1495,1542,fit
1,1496,1749,fit
1,1497,1055,fit
1,1498,1060,fit
1,1499,92,fit
1,1500,312,fit
1,1501,544,fit
1,1502,886,fit
1,1506,1042,fit
1,1507,709,fit
1,1508,1698,fit
1,1509,102,fit
1,1510,1306,fit
1,1511,1151,fit
1,1512,93,fit
1,1513,1528,fit
1,1514,1115,fit
1,1515,1153,fit
1,1516,120,fit
1,1517,466,fit
1,1519,243,fit
1,1520,1829,fit
1,1521,34,fit
1,1522,1949,fit
1,1523,1737,fit
1,1524,59,fit
1,1525,1104,fit
1,1527,286,fit
1,1528,1349,fit
1,1529,827,fit
1,1530,1698,fit
1,1532,1462,fit
1,1533,1787,fit
1,1536,906,fit
1,1537,1843,fit
1,1538,313,fit
1,1539,1553,fit
1,1540,443,fit
1,1541,1484,fit
1,1542,1954,fit
1,1543,1672,fit
1,1544,1565,fit
1,1545,1341,fit
1,1546,1590,fit
1,1548,548,fit
1,1549,508,fit
1,1550,1377,fit
1,1552,870,fit
1,1553,1343,fit
1,1554,1265,fit
1,1556,1742,fit
1,1558,199,fit
1,1559,1561,fit
1,1561,1161,fit
1,1562,1203,fit
1,1563,1728,fit
1,1564,1014,fit
1,1565,290,fit
1,1566,585,fit
1,1568,417,fit
1,1569,60,fit
1,1570,1093,fit
1,1571,92,fit
1,1572,1399,fit
1,1573,1869,fit
1,1574,1502,fit
1,1576,685,fit
1,1578,109,fit
1,1579,825,fit
1,1581,1940,fit
1,1585,1419,fit
1,1586,1776,fit
1,1587,1317,fit
1,1589,1155,fit
1,1590,1918,fit
1,1591,1350,fit
1,1593,1999,fit
1,1595,1430,fit
1,1596,1650,fit
1,1599,1135,fit
1,1602,1766,fit
1,1603,762,fit
1,1604,1514,fit
1,1605,307,fit
1,1608,747,fit
1,1609,907,fit
1,1612,471,fit
1,1614,1198,fit
1,1616,1986,fit
1,1617,1781,fit
1,1623,1471,fit
1,1625,787,fit
1,1626,1096,fit
1,1628,229,fit
1,1629,599,fit
1,1631,1276,fit
1,1633,456,fit
1,1635,841,fit
1,1637,23,fit
1,1638,1372,fit
1,1639,1762,fit
1,1641,1050,fit
1,1642,1102,fit
1,1646,1802,fit
1,1650,803,fit
1,1651,389,fit
1,1652,184,fit
1,1653,118,fit
1,1654,5,fit
1,1655,579,fit
1,1656,1061,fit
1,1657,1745,fit
1,1658,774,fit
1,1660,50,fit
1,1661,1669,fit
1,1662,1873,fit
1,1663,63,fit
1,1664,178,fit
1,1665,1657,fit
1,1666,2024,fit
1,1669,765,fit
1,1670,1958,fit
1,1671,1226,fit
1,1673,1878,fit
1,1675,1898,fit
1,1677,1140,fit
1,1679,1599,fit
1,1682,1167,fit
1,1683,969,fit
1,1684,426,fit
1,1685,596,fit
1,1686,1736,fit
1,1687,897,fit
1,1689,1328,fit
1,1691,843,fit
1,1694,404,fit
1,1695,1501,fit
1,1697,83,fit
1,1698,57,fit
1,1699,1623,fit
1,1702,190,fit
1,1703,594,fit
1,1705,1043,fit
1,1706,531,fit
1,1707,1517,fit
1,1708,276,fit
1,1709,1844,fit
1,1710,1121,fit
1,1714,704,fit
1,1716,527,fit
1,1717,14,fit
1,1720,1362,fit
1,1723,1461,fit
1,1724,1642,fit
1,1725,313,fit
1,1726,783,fit
1,1727,903,fit
1,1728,1454,fit
1,1730,1172,fit
1,1731,957,fit
1,1732,1463,fit
1,1733,668,fit
1,1734,240,fit
1,1735,1644,fit
1,1737,636,fit
1,1738,676,fit
1,1741,1465,fit
1,1743,287,fit
1,1744,2002,fit
1,1746,1099,fit
1,1748,1270,fit
1,1749,16,fit
1,1750,853,fit
1,1751,428,fit
1,1754,1495,fit
1,1756,1946,fit
1,1757,1774,fit
1,1758,815,fit
1,1759,370,fit
1,1760,1911,fit
1,1761,421,fit
1,1764,602,fit
1,1765,1932,fit
1,1766,1880,fit
1,1767,82,fit
1,1768,1660,fit
1,1769,1330,fit
1,1770,741,fit
1,1771,1039,fit
1,1772,1461,fit
1,1773,912,fit
1,1774,1753,fit
1,1775,1555,fit
1,1776,1260,fit
1,1777,673,fit
1,1779,1067,fit
1,1783,480,fit
1,1784,839,fit
1,1785,382,fit
1,1786,1717,fit
1,1787,1169,fit
1,1790,243,fit
1,1792,425,fit
1,1796,1050,fit
1,1798,2009,fit
1,1800,1684,fit
1,1801,270,fit
1,1802,1042,fit
1,1804,1147,fit
1,1809,1003,fit
1,1811,1842,fit
1,1812,185,fit
1,1813,1083,fit
1,1814,203,fit
1,1815,1924,fit
1,1816,1475,fit
1,1819,107,fit
1,1821,1823,fit
1,1823,1702,fit
1,1825,875,fit
1,1826,1046,fit
1,1830,180,fit
1,1831,1352,fit
1,1833,85,fit
1,1834,200,fit
1,1835,859,fit
1,1836,738,fit
1,1837,965,fit
1,1838,430,fit
1,1839,667,fit
1,1840,372,fit
1,1843,1586,fit
1,1844,1375,fit
1,1845,575,fit
1,1847,530,fit
1,1848,214,fit
1,1857,1212,fit
1,1858,110,fit
1,1860,1945,fit
1,1862,321,fit
1,1864,1062,fit
1,1865,563,fit
1,1868,1037,fit
1,1869,1073,fit
1,1872,1400,fit
1,1875,1968,fit
1,1877,95,fit
1,1879,167,fit
1,1880,811,fit
1,1881,775,fit
1,1883,1386,fit
1,1884,1681,fit
1,1885,1220,fit
1,1887,1243,fit
1,1888,327,fit
1,1889,1676,fit
1,1890,1044,fit
1,1892,821,fit
1,1893,1981,fit
1,1894,483,fit
1,1895,44,fit
1,1896,1479,fit
1,1897,94,fit
1,1898,553,fit
1,1900,73,fit
1,1901,655,fit
1,1903,1108,fit
1,1904,824,fit
1,1906,1235,fit
1,1907,1164,fit
1,1908,1690,fit
1,1911,2008,fit
1,1912,355,fit
1,1913,1432,fit
1,1914,1459,fit
1,1915,1810,fit
1,1918,1338,fit
1,1920,592,fit
1,1921,1764,fit
1,1922,29,fit
1,1923,1683,fit
1,1925,1241,fit
1,1926,567,fit
1,1927,1424,fit
1,1928,833,fit
1,1930,910,fit
1,1931,705,fit
1,1932,1078,fit
1,1933,618,fit
1,1934,1159,fit
1,1936,733,fit
1,1939,1134,fit
1,1940,1085,fit
1,1941,1989,fit
1,1942,757,fit
1,1945,1987,fit
1,1946,1361,fit
1,1949,1250,fit
1,1950,1496,fit
1,1951,1204,fit
1,1952,1726,fit
1,1954,1539,fit
1,1956,1802,fit
1,1957,1088,fit
1,1958,1916,fit
1,1960,649,fit
1,1961,103,fit
1,1963,463,fit
1,1964,975,fit
1,1966,1965,fit
1,1967,613,fit
1,1968,332,fit
1,1970,570,fit
1,1971,225,fit
1,1974,1383,fit
1,1976,469,fit
1,1978,82,fit
1,1979,1406,fit
1,1982,515,fit
1,1985,1492,fit
1,1986,1928,fit
1,1989,2004,fit
1,1990,252,fit
1,1991,1839,fit
1,1992,8,fit
1,1994,294,fit
1,1995,1917,fit
1,1997,736,fit
1,1998,928,fit
1,1999,1613,fit
1,2001,1906,fit
1,2002,31,fit
1,2003,1248,fit
1,2005,865,fit
1,2007,1031,fit
1,2008,1807,fit
1,2009,215,fit
1,2011,1760,fit
1,2012,1590,fit
1,2013,1582,fit
1,2018,1179,fit
1,2021,400,fit
1,2022,96,fit
1,2023,1554,fit
1,2024,1033,fit
1,2027,67,fit
1,2028,1876,fit
1,2031,574,fit
1,2033,1029,fit
1,2034,1002,fit
1,2035,1497,fit
1,2037,1944,fit
1,2040,1705,fit
1,2043,468,fit
1,2044,264,fit
1,2045,1770,fit
1,2047,590,fit
1,2048,630,fit
1,2049,1482,fit
1,2052,1232,fit
1,2053,160,fit
1,2054,1742,fit
1,2056,521,fit
1,2058,1428,fit
1,2064,1708,fit
1,2065,1433,fit
1,2067,1358,fit
1,2068,686,fit
1,2070,1907,fit
1,2071,1221,fit
1,2072,1688,fit
1,2073,1069,fit
1,2075,943,fit
1,2077,789,fit
1,2078,450,fit
1,2079,1545,fit
1,2080,1749,fit
1,2082,1253,fit
1,2084,534,fit
1,2085,920,fit
1,2087,1598,fit
1,2088,1658,fit
1,2089,554,fit
1,2090,330,fit
1,2093,1648,fit
1,2094,138,fit
1,2096,1094,fit
1,2098,1054,fit
1,2099,976,fit
1,2101,619,fit
1,2102,1081,fit
1,2105,586,fit
1,2106,538,fit
1,2107,1339,fit
1,2108,1597,fit
1,2117,201,fit
1,2118,1336,fit
1,2121,1882,fit
1,2123,1833,fit
1,2124,1500,fit
1,2126,1572,fit
1,2127,1576,fit
1,2128,1335,fit
1,2129,2025,fit
1,2130,1890,fit
1,2136,1778,fit
1,2138,916,fit
1,2139,616,fit
1,2141,642,fit
1,2144,860,fit
1,2145,1521,fit
1,2146,1077,fit
1,2148,399,fit
1,2149,1938,fit
1,2152,608,fit
1,2153,458,fit
1,2156,1183,fit
1,2157,1325,fit
1,2162,806,fit
